host,port
lsc-135-display.openav.dartmouth.edu,80
lsc-100-display-1.openav.dartmouth.edu,80
lsc-100-display-2.openav.dartmouth.edu,80
lsc-105-1-display-1.openav.dartmouth.edu,80
lsc-105-1-display-2.openav.dartmouth.edu,80
lsc-105-2-display-1.openav.dartmouth.edu,80
lsc-105-2-display-2.openav.dartmouth.edu,80
lsc-105-2-display-3.openav.dartmouth.edu,80
lsc-205-1-display-1.openav.dartmouth.edu,80
lsc-205-1-display-2.openav.dartmouth.edu,80
lsc-205-2-display-1.openav.dartmouth.edu,80
lsc-205-2-display-2.openav.dartmouth.edu,80
lsc-205-2-display-3.openav.dartmouth.edu,80
