host,port
lsc-135-display.openav.dartmouth.edu,80
lsc-100-display-1.openav.dartmouth.edu,80
lsc-100-display-2.openav.dartmouth.edu,80
lsc-105-1-display-1.openav.dartmouth.edu,80
lsc-105-1-display-2.openav.dartmouth.edu,80
lsc-105-2-display-1.openav.dartmouth.edu,80
lsc-105-2-display-2.openav.dartmouth.edu,80
lsc-105-2-display-3.openav.dartmouth.edu,80
lsc-205-1-display-1.openav.dartmouth.edu,80
lsc-205-1-display-2.openav.dartmouth.edu,80
lsc-205-2-display-1.openav.dartmouth.edu,80
lsc-205-2-display-2.openav.dartmouth.edu,80
lsc-205-2-display-3.openav.dartmouth.edu,80
4-currier-101b-display.openav.dartmouth.edu,80
4-currier-101e-display.openav.dartmouth.edu,80
4-currier-213-display.openav.dartmouth.edu,80
4-currier-214-display.openav.dartmouth.edu,80
4-currier-215-display.openav.dartmouth.edu,80
4-currier-223-display.openav.dartmouth.edu,80
4-currier-227-display.openav.dartmouth.edu,80
4-currier-232-vr-display.openav.dartmouth.edu,80
4-currier-collaboration-display.openav.dartmouth.edu,80
4-currier-lounge-display.openav.dartmouth.edu,80
baker-102-display.openav.dartmouth.edu,80
bartlett-105a-display.openav.dartmouth.edu,80
berry-180-display.openav.dartmouth.edu,80
berrysport-045-display.openav.dartmouth.edu,80
berrysport-010-display.openav.dartmouth.edu,80
berrysport-206-display.openav.dartmouth.edu,80
carson-061-2-display-1.openav.dartmouth.edu,80
carson-061-2-display-2.openav.dartmouth.edu,80
carson-061-2-display-3.openav.dartmouth.edu,80
carson-061-2-display-4.openav.dartmouth.edu,80
carson-061-2-display-5.openav.dartmouth.edu,80
carson-061-2-display-6.openav.dartmouth.edu,80
court01-211-display.openav.dartmouth.edu,80
court01-215-display.openav.dartmouth.edu,80
cts-4-currier-104-display.dartmouth.edu,80
doc-house-display.openav.dartmouth.edu,80
fairchild-217a-display.openav.dartmouth.edu,80
floren-332-display-1.openav.dartmouth.edu,80
floren-332-display-2.openav.dartmouth.edu,80
hopkins-051-display.openav.dartmouth.edu,80
lewinstein-111-display.openav.dartmouth.edu,80
lsc-200-1-display-1.openav.dartmouth.edu,80
lsc-200-1-display-2.openav.dartmouth.edu,80
lsc-200-2-display-1.openav.dartmouth.edu,80
lsc-200-2-display-2.openav.dartmouth.edu,80
lsc-200-2-display-3.openav.dartmouth.edu,80
lsc-200-2-display-4.openav.dartmouth.edu,80
lsc-200-2-display-5.openav.dartmouth.edu,80
lsc-200-2-display-6.openav.dartmouth.edu,80
lsc-200-2-display-7.openav.dartmouth.edu,80
lsc-200-2-display-8.openav.dartmouth.edu,80
parkhurst-06a-display.openav.dartmouth.edu,80
preshouse-b02-display.openav.dartmouth.edu,80
rockefeller-100-display.openav.dartmouth.edu,80
dewey-010-display.openav.dartmouth.edu,80
kemeny-307-display.openav.dartmouth.edu,80
robinson-322-display.openav.dartmouth.edu,80
mcnutt-001-display.openav.dartmouth.edu,80
parkhurst-009b-display.openav.dartmouth.edu,80
wentworth-205-display.openav.dartmouth.edu,80
doc-house-display.openav.dartmouth.edu,80
rockefeller-100-display.openav.dartmouth.edu,80
osher-3a-display.openav.dartmouth.edu,80
osher-3a-confidence-display.openav.dartmouth.edu,80
